geocode_text,lon,lat,place_name,relevance,feature_id
"Area 49, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"amon, Malawi",33.739164,-13.215804,Malawi,1.0,country.8862
"lobi, Malawi",34.075973,-14.382453,"Lobi, Dedza, Malawi",1.0,place.5646494
"kapatuka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"suzi, Malawi",33.483271,-12.935962,"Suza, Kasungu, Malawi",0.9375,place.10758302
"duke, Malawi",33.739164,-13.215804,Malawi,1.0,country.8862
"chipye, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mitayi, Malawi",35.04093,-16.302781,"Mitawi, Chikwawa, Malawi",0.958333,place.7334046
"lodzanyama, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"Area 56, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"ndiwo, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"gundani, Malawi",33.501239,-13.049451,"Gundani, Kasungu, Malawi",1.0,place.2992286
"moyale, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mbuna, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"ll, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"katondo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kampini, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nyongani, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mpondazuwa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chawo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"maiwa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kasaliaka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"khama, Malawi",33.551066,-10.186424,"Kama, Chitipa, Malawi",0.95,place.3999902
"kumakoka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chiwale, Malawi",33.650086,-14.217782,"Chiwale, Lilongwe, Malawi",1.0,place.2140318
"chilalo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mchedza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
