query,lon,lat,place_name,relevance,feature_id
satha,33.739164,-13.215804,Malawi,0.5,country.8862
siliya,33.739164,-13.215804,Malawi,0.5,country.8862
suzi,33.483271,-12.935962,"Suza, Kasungu, Malawi",0.9375,place.10758302
tambala,33.629595,-12.873253,"Tambala, Kasungu, Malawi",1,place.10791070
tete,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
thete,34.096401,-14.3146,"Thete, Dedza, Malawi",1,place.10922142
tomasi,35.399202,-15.282705,"Domasi, Zomba, Malawi",0.958333,place.2508958
tsabango,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
tsalango,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
tsanbango,33.739164,-13.215804,Malawi,0.5,country.8862
tsonga,34.869976,-14.549209,"Songa, Mangochi, Malawi",0.958333,place.10717342
undi,33.997746,-13.265041,"Undi, Ntchisi, Malawi",1,place.11110558
villa,33.739164,-13.215804,Malawi,0.5,country.8862
village,,,,,
wezi,33.739164,-13.215804,Malawi,0.5,country.8862
wimbe,33.692332,-12.98539,"Wimbe, Kasungu, Malawi",1,place.11241630
zeze,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
zikambani,33.739164,-13.215804,Malawi,0.5,country.8862
zimba,35.326827,-15.386321,"Zomba, Malawi",0.95,region.42142
ziyaya,33.739164,-13.215804,Malawi,0.5,country.8862
zomba,35.326827,-15.386321,"Zomba, Malawi",1,region.42142
